Complexity Measure,Value
F1,0.0025880288999999834
F1v,-0.036238363900000015
F2,8.343739999999999e-06
F3,0.022310516899999966
F4,0.15919354370000005
N1,-0.09123525629999996
N2,-0.009825872999999985
N3,-0.056458797199999966
N4,-0.05933371969999998
N5,-0.07056743799999998
N6,0.01155183390000003
L1,-0.036753705200000014
L2,-0.0656632761
L3,-0.02684025489999997
D1,-0.0462276217
D2,-0.008938709
D3,0.07777777779999998
B1,0.071850315
B2,0.14765691390000002
G1,-0.007201539999999951
G2,-0.09522459439999997
G3,-0.050249278700000066
