Complexity Measure,Value
F1,0.003628100000000023
F1v,0.02941769999999999
F2,6.434609999999998e-06
F3,0.015491800000000056
F4,0.055316300000000096
N1,0.027109700000000014
N2,0.0038708000000000076
N3,0.0023065000000000446
N4,-0.005838099999999985
N5,0.020454899999999943
N6,0.004678900000000041
L1,0.013021499999999991
L2,0.02114330000000003
L3,0.04492370000000001
D1,-0.0032555000000000014
D2,-0.0016569230000000002
D3,-0.03333330000000001
B1,-0.0294421
B2,-0.052545099999999956
G1,0.009263400000000033
G2,-0.0728162
G3,0.011696299999999993
