Complexity Measure,Value
F1,0.0010400711000000396
F1v,0.0656560639
F2,-1.9091300000000005e-06
F3,-0.00681871689999991
F4,-0.10387724369999995
N1,0.11834495629999997
N2,0.013696672999999993
N3,0.05876529720000001
N4,0.0534956197
N5,0.09102233799999992
N6,-0.006872933899999989
L1,0.049775205200000006
L2,0.08680657610000003
L3,0.07176395489999998
D1,0.0429721217
D2,0.007281785999999999
D3,-0.11111107779999999
B1,-0.101292415
B2,-0.20020201389999998
G1,0.016464939999999983
G2,0.022408394399999976
G3,0.06194557870000006
