Complexity Measure,Value
F1,-0.008749228499999928
F1v,-0.0041395632000000016
F2,0.0015989093000000065
F3,-0.00039878289999994987
F4,0.01933490729999998
N1,-0.04584257730000002
N2,-0.010586413399999994
N3,-0.0319660531
N4,-0.0044960793999999984
N5,-0.07711837840000002
N6,0.00021223869999997813
L1,-0.0041211544
L2,-0.0018077004999999952
L3,-0.0038544978999999965
D1,-0.0011675284
D2,-0.0010363606999999999
D3,-0.045751634199999947
B1,-0.016343109800000002
B2,-0.0440932734
G1,0.0009115439999999309
G2,0.11523522350000004
G3,0.038813494500000045
