Complexity Measure,Value
F1,0.0003537135000000191
F1v,-0.008358982200000004
F2,-0.0034395686999999925
F3,-0.02390708389999996
F4,-0.016410381700000087
N1,-0.018973616300000024
N2,-0.0014787123999999707
N3,-0.014111844099999993
N4,-0.002857183400000001
N5,0.004357900599999964
N6,0.0020310377000000157
L1,-0.0055557974
L2,-0.00625150549999999
L3,-0.006054487899999995
D1,-0.0008012614000000001
D2,-0.0007347286999999998
D3,-0.045751634199999947
B1,-0.0055279047999999996
B2,-0.0151728284
G1,0.006215827999999979
G2,0.12968337350000003
G3,0.01290875250000001
