Complexity Measure,Value
F1,0.01579981549999998
F1v,0.024957355799999997
F2,0.0014424643000000015
F3,0.059296572100000056
F4,0.10244560329999997
N1,0.028892697699999997
N2,0.003435732600000019
N3,0.023699949900000003
N4,0.0029622456
N5,0.008347739600000015
N6,0.003227637700000008
L1,0.0165180536
L2,0.023745156500000003
L3,0.017691008100000002
D1,-0.0025861894
D2,-0.0022046697
D3,-0.045751634199999947
B1,-0.0061372608
B2,-0.0168289314
G1,0.0063315939999999404
G2,0.10965985650000004
G3,-0.015585745500000026
