Complexity Measure,Value
F1,0.015446101999999962
F1v,0.033316338
F2,0.004882032999999994
F3,0.08320365600000001
F4,0.11885598500000005
N1,0.04786631400000002
N2,0.0049144449999999895
N3,0.037811793999999996
N4,0.005819429000000001
N5,0.0039898390000000505
N6,0.0011965999999999921
L1,0.022073851
L2,0.029996661999999993
L3,0.023745495999999998
D1,-0.0017849280000000003
D2,-0.0014699410000000002
D3,0.0
B1,-0.0006093560000000001
B2,-0.0016561030000000025
G1,0.00011576599999996162
G2,-0.02002351699999999
G3,-0.028494498000000035
